30-я (1958)`• Лана Тёрнер`«Пэйтон Плейс»`                Констанс Маккензи` 
31-я (1959)`• Сьюзен Хэйворд`«Я хочу жить!»`                Барбара Грэхэм` 
31-я (1959)`• Дебора Керр`«За отдельными столиками»`                Сибил Рейлтон-Белл` 
31-я (1959)`• Ширли Маклейн`«И подбежали они»`                Джинни Мурхед` 
31-я (1959)`• Розалинд Расселл`«Тётушка Мэйм»`                Мэйм Деннис` 
31-я (1959)`• Элизабет Тейлор`«Кошка на раскалённой крыше»`                Мегги Поллитт` 
32-я (1960)`• Симона Синьоре`«Путь наверх»`                Элис Эйсджилл` 
32-я (1960)`• Дорис Дэй`«Телефон пополам»`                Джен Морроу` 
32-я (1960)`• Одри Хепбёрн`«История монахини»`                сестра Люк (Габриэль ван дер Маль)` 
32-я (1960)`• Кэтрин Хепбёрн`«Внезапно, прошлым летом»`                миссис Вайолет Вэнейбл` 
32-я (1960)`• Элизабет Тейлор`«Внезапно, прошлым летом»`                Кэтрин Холли` 
33-я (1961)`• Элизабет Тейлор`«Баттерфилд, 8»`                Глория Вэндроуз` 
33-я (1961)`• Грир Гарсон`«Восход солнца в Кампобелло»`                Элеонора Рузвельт` 
33-я (1961)`• Дебора Керр`«Бродяги»`                Ида Кармоди` 
33-я (1961)`• Ширли Маклейн`«Квартира»`                Фрэн Кубелик` 
33-я (1961)`• Мелина Меркури`«Никогда в воскресенье»`                Илия` 
34-я (1962)`• Софи Лорен`«Чочара»`                Чезира` 
34-я (1962)`• Одри Хепбёрн`«Завтрак у Тиффани»`                Холли Голайтли` 
34-я (1962)`• Пайпер Лори`«Мошенник»`                Сара Паккард` 
34-я (1962)`• Джеральдин Пейдж`«Лето и дым»`                Алма Уайнмиллер` 
34-я (1962)`• Натали Вуд`«Великолепие в траве»`                Уилма Дин «Дини» Лумис` 
35-я (1963)`• Энн Бэнкрофт`«Сотворившая чудо»`                Энн Салливан` 
35-я (1963)`• Бетт Дейвис`«Что случилось с Бэби Джейн?»`                Бэби Джейн Хадсон` 
35-я (1963)`• Кэтрин Хепбёрн`«Долгий день уходит в ночь»`                Мэри Тайрон` 
35-я (1963)`• Джеральдин Пейдж`«Сладкоголосая птица юности»`                Александра Дель Лаго` 
35-я (1963)`• Ли Ремик`«Дни вина и роз»`                Кирстен Арнесен Клэй` 
36-я (1964)`• Патриция Нил`«Хад»`                Альма Браун` 
36-я (1964)`• Лесли Карон`«Угловая комната»`                Джейн Фоссет` 
36-я (1964)`• Ширли Маклейн`«Нежная Ирма»`                Ирма` 
36-я (1964)`• Рейчел Робертс`«Такова спортивная жизнь»`                миссис Маргарет Хэммонд` 
36-я (1964)`• Натали Вуд`«Любовь с подходящим незнакомцем»`                Энджи Россини` 
37-я (1965)`• Джули Эндрюс`«Мэри Поппинс»`                Мэри Поппинс` 
37-я (1965)`• Энн Бэнкрофт`«Пожиратель тыкв»`                Джо Армитаж` 
37-я (1965)`• Софи Лорен`«Брак по-итальянски»`                Филумена Мартурано` 
37-я (1965)`• Дебби Рейнольдс`«Непотопляемая Молли Браун»`                Молли Браун` 
37-я (1965)`• Ким Стэнли`«Сеанс дождливым вечером»`                Майра Сэвэдж` 
38-я (1966)`• Джули Кристи`«Дорогая»`                Диана Скотт` 
38-я (1966)`• Джули Эндрюс`«Звуки музыки»`                Мария` 
38-я (1966)`• Саманта Эггар`«Коллекционер»`                Миранда Грей` 
38-я (1966)`• Элизабет Хартман`«Клочок синевы»`                Селина Д’Арси` 
38-я (1966)`• Симона Синьоре`«Корабль дураков»`                графиня` 
39-я (1967)`• Элизабет Тейлор`«Кто боится Вирджинии Вулф?»`                Марта` 
39-я (1967)`• Анук Эме`«Мужчина и женщина»`                Анна Готье` 
39-я (1967)`• Ида Каминска`«Магазин на площади»`                Розалия Лаутманнова` 
39-я (1967)`• Линн Редгрейв`«Девушка Джорджи»`                Джорджи Паркин` 
39-я (1967)`• Ванесса Редгрейв`«Морган: Подходящий случай для терапии»`                Леони Делт` 
40-я (1968)`• Кэтрин Хепбёрн`«Угадай, кто придёт к обеду?»`                Кристина Дрейтон` 
40-я (1968)`• Энн Бэнкрофт`«Выпускник»`                миссис Робинсон` 
40-я (1968)`• Фэй Данауэй`«Бонни и Клайд»`                Бонни Паркер` 
40-я (1968)`• Эдит Эванс`«Шептуны»`                Мэгги Росс` 
40-я (1968)`• Одри Хепбёрн`«Дождись темноты»`                Сьюзи Хендрикс` 
41-я (1969)`«Лев зимой»`Алиенора Аквитанская`                ` 
41-я (1969)`• Барбра Стрейзанд`«Смешная девчонка»`                Фанни Брайс` 
41-я (1969)`• Патриция Нил`«Если бы не розы»`                Нетти Клири` 
41-я (1969)`• Ванесса Редгрейв`«Айседора»`                Айседора Дункан` 
41-я (1969)`• Джоан Вудворд`«Рэйчел, Рэйчел»`                Рэйчел Кэмерон` 
42-я (1970)`• Мэгги Смит`«Расцвет мисс Джин Броди»`                мисс Джин Броди` 
42-я (1970)`• Женевьева Бюжо`«Тысяча дней Анны»`                Анна Болейн` 
42-я (1970)`• Джейн Фонда`«Загнанных лошадей пристреливают, не правда ли?»`                Глория Битти` 
42-я (1970)`• Лайза Миннелли`«Бесплодная кукушка»`                Мэри Энн «Пуки» Адамс` 
42-я (1970)`• Джин Симмонс`«Счастливый конец»`                Мэри Уилсон` 
43-я (1971)`• Гленда Джексон`«Влюблённые женщины»`                Гудрун Бренгвен` 
43-я (1971)`• Джейн Александер`«Большая белая надежда»`                Элеанор Бэкман` 
43-я (1971)`• Эли Макгроу`«История любви»`                Дженнифер Каваллери` 
43-я (1971)`• Сара Майлз`«Дочь Райана»`                Рози Райан` 
43-я (1971)`• Кэрри Снодгресс`«Дневник безумной домохозяйки»`                Тина Балсер` 
44-я (1972)`• Джейн Фонда`«Клют»`                Бри Дэниелс` 
44-я (1972)`• Джули Кристи`«Маккейб и миссис Миллер»`                Констанс Миллер` 
44-я (1972)`• Гленда Джексон`«Воскресенье, проклятое воскресенье»`                Алекс Грэвилл` 
44-я (1972)`• Ванесса Редгрейв`«Мария — королева Шотландии»`                королева Шотландии Мария Стюарт` 
44-я (1972)`• Джанет Сазман`«Николай и Александра»`                императрица Александра Фёдоровна` 
45-я (1973)`• Лайза Миннелли`«Кабаре»`                Салли Боулз` 
45-я (1973)`• Дайана Росс`«Леди поёт блюз»`                Билли Холидей` 
45-я (1973)`• Мэгги Смит`«Путешествия с моей тётей»`                Аугуста Бертрам` 
45-я (1973)`• Сисели Тайсон`«Саундер»`                Ребекка Морган` 
45-я (1973)`• Лив Ульман`«Эмигранты»`                Кристина Нильссон` 
46-я (1974)`• Гленда Джексон`«С шиком»`                Вики Аллессио` 
46-я (1974)`• Эллен Бёрстин`«Изгоняющий дьявола»`                Крис Макнил` 
46-я (1974)`• Марша Мейсон`«Увольнение до полуночи»`                Мэгги Пол` 
46-я (1974)`• Барбра Стрейзанд`«Встреча двух сердец»`                Кэти Мороски` 
46-я (1974)`• Джоан Вудворд`«Летние желания, зимние мечты»`                Рита Уолден` 
47-я (1975)`• Эллен Бёрстин`«Алиса здесь больше не живёт»`                Алиса Хайатт` 
47-я (1975)`• Дайан Кэрролл`«Клодин»`                Клодин Прайс` 
47-я (1975)`• Фэй Данауэй`«Китайский квартал»`                Эвелин Кросс Малрей` 
47-я (1975)`• Валери Перрин`«Ленни»`                Хани Брюс` 
47-я (1975)`• Джина Роулендс`«Женщина под влиянием»`                Мэйбл Лонгетти` 
48-я (1976)`• Луиза Флетчер`«Пролетая над гнездом кукушки»`                медсестра Милдред Рэтчед` 
48-я (1976)`• Изабель Аджани`«История Адели Г.»`                Адель Гюго` 
48-я (1976)`• Энн-Маргрет`«Томми»`                Нора Уокер Хоббс` 
48-я (1976)`• Гленда Джексон`«Гедда»`                Гедда Габлер` 
48-я (1976)`• Кэрол Кейн`«Хестер-стрит»`                Гитл` 
49-я (1977)`• Фэй Данауэй`«Телесеть»`                Дайана Кристенсен` 
49-я (1977)`• Мари-Кристин Барро`«Кузен, кузина»`                Марта` 
49-я (1977)`• Талия Шайр`«Рокки»`                Эдриан Пеннино` 
49-я (1977)`• Сисси Спейсек`«Кэрри»`                Кэрри Уайт` 
49-я (1977)`• Лив Ульман`«Лицом к лицу»`                доктор Йенни Исакссон` 
50-я (1978)`• Дайан Китон`«Энни Холл»`                Энни Холл` 
50-я (1978)`• Энн Бэнкрофт`«Поворотный пункт»`                Эмма Джеклин` 
50-я (1978)`• Джейн Фонда`«Джулия»`                Лилиан Хеллман` 
50-я (1978)`• Ширли Маклейн`«Поворотный пункт»`                Диди Роджерс` 
50-я (1978)`• Марша Мейсон`«До свидания, дорогая»`                Пола Макфадден` 
51-я (1979)`• Джейн Фонда`«Возвращение домой»`                Салли Хайд` 
51-я (1979)`• Ингрид Бергман`«Осенняя соната»`                Шарлотта Андергаст` 
51-я (1979)`• Эллен Бёрстин`«В это же время, в следующем году»`                Дорис` 
51-я (1979)`• Джилл Клейберг`«Незамужняя женщина»`                Эрика` 
51-я (1979)`• Джеральдин Пейдж`«Интерьеры»`                Ева` 
52-я (1980)`• Салли Филд`«Норма Рэй»`                Норма Рэй Уэбстер` 
52-я (1980)`• Джилл Клейберг`«Начать сначала»`                Мэрилин Холмберг` 
52-я (1980)`• Джейн Фонда`«Китайский синдром»`                Кимберли Уэллс` 
52-я (1980)`• Марша Мейсон`«Глава вторая»`                Дженни Маклейн` 
52-я (1980)`• Бетт Мидлер`«Роза»`                Мэри Роуз Фостер` 
53-я (1981)`• Сисси Спейсек`«Дочь шахтёра»`                Лоретта Линн` 
53-я (1981)`• Эллен Бёрстин`«Воскрешение»`                Эдна Мэй Маккоули` 
53-я (1981)`• Голди Хоун`«Рядовой Бенджамин»`                рядовая Джуди Бенджамин` 
53-я (1981)`• Мэри Тайлер Мур`«Обыкновенные люди»`                Бэт Джарэтт` 
53-я (1981)`• Джина Роулендс`«Глория»`                Глория Свенсон` 
54-я (1982)`• Кэтрин Хепбёрн`«На золотом озере»`                Этель Тэйер` 
54-я (1982)`• Дайан Китон`«Красные»`                Луиза Брайант` 
54-я (1982)`• Марша Мейсон`«Только когда я смеюсь»`                Джорджия Хайнц` 
54-я (1982)`• Сьюзан Сарандон`«Атлантик-Сити»`                Салли Мэтьюс` 
54-я (1982)`• Мерил Стрип`«Женщина французского лейтенанта»`                Сара Вудраф / Анна` 
55-я (1983)`• Мерил Стрип`«Выбор Софи»`                Софи Завистовски` 
55-я (1983)`• Джули Эндрюс`«Виктор/Виктория»`                Виктория Грант / граф Виктор Гражински` 
55-я (1983)`• Джессика Лэнг`«Фрэнсис»`                Фрэнсис Фармер` 
55-я (1983)`• Сисси Спейсек`«Пропавший без вести»`                Бет Хорман` 
55-я (1983)`• Дебра Уингер`«Офицер и джентльмен»`                Пола Покрифки` 
56-я (1984)`• Ширли Маклейн`«Язык нежности»`                Аврора Гринуэй` 
56-я (1984)`• Джейн Александер`«Завещание»`                Кэрол Уэтерли` 
56-я (1984)`• Мерил Стрип`«Силквуд»`                Карен Силквуд` 
56-я (1984)`• Джули Уолтерс`«Воспитание Риты»`                Сьюзен «Рита» Уайт` 
56-я (1984)`• Дебра Уингер`«Язык нежности»`                Эмма Гринуэй Хортон` 
57-я (1985)`• Салли Филд`«Места в сердце»`                Эдна Сполдинг` 
57-я (1985)`• Джуди Дэвис`«Поездка в Индию»`                Адела Куэстед` 
57-я (1985)`• Джессика Лэнг`«Деревня»`                Джевелл Айви` 
57-я (1985)`• Ванесса Редгрейв`«Бостонцы»`                Олив Чанселлор` 
57-я (1985)`• Сисси Спейсек`«Река»`                Мэй Гарви` 
58-я (1986)`• Джеральдин Пейдж`«Поездка в Баунтифул»`                Кэрри Уоттс` 
58-я (1986)`• Энн Бэнкрофт`«Агнесса божья»`                мать-настоятельница Мириам Рут` 
58-я (1986)`• Вупи Голдберг`«Цветы лиловые полей»`                Сели Джонсон` 
58-я (1986)`• Джессика Лэнг`«Сладкие грёзы»`                Пэтси Клайн` 
58-я (1986)`• Мерил Стрип`«Из Африки»`                Карен Бликсен` 
59-я (1987)`• Марли Мэтлин`«Дети меньшего бога»`                Сара Норман` 
59-я (1987)`• Джейн Фонда`«На следующее утро»`                Алекс Стернберген` 
59-я (1987)`• Сисси Спейсек`«Преступления сердца»`                Бэйб` 
59-я (1987)`• Кэтлин Тёрнер`«Пегги Сью вышла замуж»`                Пегги Сью` 
59-я (1987)`• Сигурни Уивер`«Чужие»`                Эллен Рипли` 
60-я (1988)`• Шер`«Власть луны»`                Лоретта Касторини` 
60-я (1988)`• Гленн Клоуз`«Роковое влечение»`                Алекс Форрест` 
60-я (1988)`• Холли Хантер`«Телевизионные новости»`                Джейн Крэйг` 
60-я (1988)`• Салли Кёркленд`«Анна»`                Анна` 
60-я (1988)`• Мерил Стрип`«Чертополох»`                Хелен Арчер` 
61-я (1989)`• Джоди Фостер`«Обвиняемые»`                Сара Тобиас` 
61-я (1989)`• Гленн Клоуз`«Опасные связи»`                маркиза Изабель де Мертей` 
61-я (1989)`• Мелани Гриффит`«Деловая девушка»`                Тесс Макгилл` 
61-я (1989)`• Мерил Стрип`«Крик в темноте»`                Линди Чемберлен` 
61-я (1989)`• Сигурни Уивер`«Гориллы в тумане»`                Дайан Фосси` 
62-я (1990)`• Джессика Тэнди`«Шофёр мисс Дэйзи»`                мисс Дэйзи Вортон` 
