1942 (14-я),★ «Как зелена была моя долина»,20th Century Fox,                Дэррил Фрэнсис Занук, 
1942 (14-я),«Цветы в пыли»,Metro-Goldwyn-Mayer,                Ирвинг Эшер, 
1942 (14-я),«Гражданин Кейн»,RKO Radio,                Орсон Уэллс, 
1942 (14-я),«А вот и мистер Джордан»,Columbia Pictures,                Эверетт Рискин, 
1942 (14-я),«Задержите рассвет»,Paramount Pictures,                Артур Хорнблоу мл., 
1942 (14-я),«Лисички»,RKO Radio,                Сэмюэл Голдвин, 
1942 (14-я),«Мальтийский сокол»,Warner Bros.,                Хэл Б. Уоллис, 
1942 (14-я),«Один шаг в раю»,Warner Bros.,                Хэл Б. Уоллис, 
1942 (14-я),«Сержант Йорк»,Warner Bros.,                Хэл Б. Уоллис; Джесси Ласки, 
1942 (14-я),«Подозрение»,RKO Radio,                Альфред Хичкок, 
1943 (15-я),★ «Миссис Минивер»,Metro-Goldwyn-Mayer,                Сидни Фрэнклин, 
1943 (15-я),«49-я параллель»,GFD; Columbia Pictures,                Майкл Пауэлл, 
1943 (15-я),«Кингс Роу»,Warner Bros.,                Хэл Б. Уоллис, 
1943 (15-я),«Великолепные Эмберсоны»,Mercury; RKO Radio,                Орсон Уэллс, 
1943 (15-я),«Волынщик»,20th Century Fox,                Наннэлли Джонсон, 
1943 (15-я),«Гордость янки»,Goldwyn; RKO Radio,                Сэмюэл Голдвин, 
1943 (15-я),«Случайная жатва»,Metro-Goldwyn-Mayer,                Сидни Фрэнклин, 
1943 (15-я),«Город говорит»,Columbia Pictures,                Джордж Стивенс, 
1943 (15-я),«Атолл Уэйк»,Paramount Pictures,                Джозеф Систром, 
1943 (15-я),«Янки Дудл Денди»,Warner Bros.,                Джек Уорнер; Хэл Б. Уоллис; Уильям Кэгни, 
1944 (16-я),★ «Касабланка»,Warner Bros.,                Хэл Б. Уоллис, 
1944 (16-я),«По ком звонит колокол»,Paramount Pictures,                Сэм Вуд, 
1944 (16-я),«Небеса могут подождать»,20th Century Fox,                Эрнст Любич, 
1944 (16-я),«Человеческая комедия»,Metro-Goldwyn-Mayer,                Кларенс Браун, 
1944 (16-я),«В котором мы служим»,United Artists,                Ноэл Кауард, 
1944 (16-я),«Мадам Кюри»,Metro-Goldwyn-Mayer,                Сидни Фрэнклин, 
1944 (16-я),«В тесноте да не в обиде»,Columbia Pictures,                Джордж Стивенс, 
1944 (16-я),«Случай в Окс-Боу»,20th Century Fox,                Ламар Тротти, 
1944 (16-я),«Песня Бернадетт»,20th Century Fox,                Уильям Перлберг, 
1944 (16-я),«Дозор на Рейне»,Warner Bros.,                Хэл Б. Уоллис, 
1945 (17-я),★ «Идти своим путём»,Paramount Pictures,                Лео МакКери, 
1945 (17-я),«Двойная страховка»,Paramount Pictures,                Джозеф Систром, 
1945 (17-я),«Газовый свет»,Metro-Goldwyn-Mayer,                Артур Хорнблоу мл., 
1945 (17-я),«С тех пор как вы ушли»,Selznick; United Artists,                Дэвид Селзник, 
1945 (17-я),«Вильсон»,20th Century Fox,                Дэррил Фрэнсис Занук, 
1946 (18-я),★ «Потерянный уикэнд»,Paramount Pictures,                Чарльз Брэкетт, 
1946 (18-я),«Поднять якоря»,Metro-Goldwyn-Mayer,                Джо Пастернак, 
1946 (18-я),«Колокола Святой Марии»,RKO Radio,                Лео МакКери, 
1946 (18-я),«Милдред Пирс»,Warner Bros.,                Джерри Уолд, 
1946 (18-я),«Заворожённый»,United Artists,                Дэвид Селзник, 
1947 (19-я),★ «Лучшие годы нашей жизни»,RKO Radio,                Сэмюэл Голдвин, 
1947 (19-я),«Генрих V»,United Artists,                Лоуренс Оливье, 
1947 (19-я),«Эта прекрасная жизнь»,RKO Radio,                Фрэнк Капра, 
1947 (19-я),«Остриё бритвы»,20th Century Fox,                Дэррил Фрэнсис Занук, 
1947 (19-я),«Оленёнок»,Metro-Goldwyn-Mayer,                Сидни Фрэнклин, 
1948 (20-я),★ «Джентльменское соглашение»,20th Century Fox,                Дэррил Фрэнсис Занук, 
1948 (20-я),«Жена епископа»,RKO Radio,                Сэмюэл Голдвин, 
1948 (20-я),«Перекрёстный огонь»,RKO Radio,                Адриан Скотт, 
1948 (20-я),«Большие надежды»,Rank-Cineguild; U-I,                Рональд Ним, 
1948 (20-я),«Чудо на 34-й улице»,20th Century Fox,                Уильям Перлберг, 
1949 (21-я),★ «Гамлет»,Two Cities Films; Universal International,                Лоуренс Оливье, 
1949 (21-я),«Джонни Белинда»,Warner Bros.,                Джерри Уолд, 
1949 (21-я),«Красные башмачки»,Rank Organisation; Powell and Pressburger; Eagle-Lion Films,                Майкл Пауэлл; Эмерих Прессбургер, 
1949 (21-я),«Змеиная яма»,20th Century Fox,                Анатоль Литвак; Роберт Басслер, 
1949 (21-я),«Сокровища Сьерра-Мадре»,Warner Bros.,                Хенри Блэнк, 
1950 (22-я),★ «Вся королевская рать»,Rossen; Columbia Pictures,                Роберт Россен, 
1950 (22-я),«Поле битвы»,Metro-Goldwyn-Mayer,                Дори Скэри, 
1950 (22-я),«Наследница»,Paramount Pictures,                Уильям Уайлер, 
1950 (22-я),«Письмо трём жёнам»,20th Century Fox,                Сол Сигел, 
1950 (22-я),«Вертикальный взлёт»,20th Century Fox,                Дэррил Фрэнсис Занук, 
1951 (23-я),★ «Всё о Еве»,20th Century Fox,                Дэррил Фрэнсис Занук, 
1951 (23-я),«Рождённая вчера»,Columbia Pictures,                Сильвен Саймон, 
1951 (23-я),«Отец невесты»,Metro-Goldwyn-Mayer,                Сэм Зимбалист, 
1951 (23-я),«Копи царя Соломона»,Metro-Goldwyn-Mayer,                Сэм Зимбалист, 
1951 (23-я),«Бульвар Сансет»,Paramount Pictures,                Чарльз Брэкетт, 
1952 (24-я),★ «Американец в Париже»,Metro-Goldwyn-Mayer,                Артур Фрид, 
1952 (24-я),«Решение перед рассветом»,20th Century Fox,                Анатоль Литвак; Фрэнк МакКерти, 
1952 (24-я),«Место под солнцем»,Paramount Pictures,                Джордж Стивенс, 
1952 (24-я),«Камо грядеши»,Metro-Goldwyn-Mayer,                Сэм Зимбалист, 
1952 (24-я),«Трамвай „Желание“»,Warner Bros.,                Чарлз К. Фелдмэн, 
1953 (25-я),★ «Величайшее шоу мира»,Paramount Pictures,                Сесил Блаунт Демилль, 
1953 (25-я),«Ровно в полдень»,United Artists,                Стэнли Крамер, 
1953 (25-я),«Айвенго»,Metro-Goldwyn-Mayer,                Пендро С. Берман, 
1953 (25-я),«Мулен Руж»,United Artists,                Джон Хьюстон, 
1953 (25-я),«Тихий человек»,Republic,                Джон Форд; Мериан К. Купер, 
1954 (26-я),★ «Отныне и во веки веков»,Columbia Pictures,                Бадди Адлер, 
